"Year","Location","Species","count","Latitude","Longitude","Effort_Nnets","CPUE"
2019,"Asköfjärden","Bleak",13,58.8379063616474,17.6365577940798,48,0.270833333333333
2019,"Asköfjärden","Brown trout",1,58.8379063616474,17.6365577940798,48,0.0208333333333333
2019,"Asköfjärden","Cod",2,58.8379063616474,17.6365577940798,48,0.0416666666666667
2019,"Asköfjärden","Eelpout",5,58.8379063616474,17.6365577940798,48,0.104166666666667
2019,"Asköfjärden","European flounder",30,58.8379063616474,17.6365577940798,48,0.625
2019,"Asköfjärden","Great sand eel",4,58.8379063616474,17.6365577940798,48,0.0833333333333333
2019,"Asköfjärden","Herring",1174,58.8379063616474,17.6365577940798,48,24.4583333333333
2019,"Asköfjärden","Ide",19,58.8379063616474,17.6365577940798,48,0.395833333333333
2019,"Asköfjärden","Perch",478,58.8379063616474,17.6365577940798,48,9.95833333333333
2019,"Asköfjärden","Pikeperch",4,58.8379063616474,17.6365577940798,48,0.0833333333333333
2019,"Asköfjärden","Roach",380,58.8379063616474,17.6365577940798,48,7.91666666666667
2019,"Asköfjärden","Round goby",1,58.8379063616474,17.6365577940798,48,0.0208333333333333
2019,"Asköfjärden","Rudd",1,58.8379063616474,17.6365577940798,48,0.0208333333333333
2019,"Asköfjärden","Ruffe",74,58.8379063616474,17.6365577940798,48,1.54166666666667
2019,"Asköfjärden","Silver bream",2,58.8379063616474,17.6365577940798,48,0.0416666666666667
2019,"Asköfjärden","Smelt",759,58.8379063616474,17.6365577940798,48,15.8125
2019,"Asköfjärden","Sprat",249,58.8379063616474,17.6365577940798,48,5.1875
2019,"Asköfjärden","Whitefish",20,58.8379063616474,17.6365577940798,48,0.416666666666667
2019,"Forsmark","Bleak",21,60.4357953111688,18.1513502597403,45,0.466666666666667
2019,"Forsmark","Bream",13,60.4357953111688,18.1513502597403,45,0.288888888888889
2019,"Forsmark","Eelpout",2,60.4357953111688,18.1513502597403,45,0.0444444444444444
2019,"Forsmark","Herring",90,60.4357953111688,18.1513502597403,45,2
